original_area_code,original,city,current_state,current_county,current_state_fip,current_county_fip,old_county_fips,state,old_county,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop,dial_pulls
303,FALSE,Lafayette,Colorado,Boulder,8,13,NA,NA,NA,48296,6029,4510,4858,1864,580,16
303,FALSE,Longmont,Colorado,Boulder,8,13,NA,NA,NA,48296,6029,4510,4858,1864,580,16
215,FALSE,West Chester,Pennsylvania,Chester,42,29,NA,NA,NA,159141,16696,15767,13593,4916,15118,8
215,FALSE,West Chester,Pennsylvania,Chester,42,29,NA,NA,NA,159141,16696,15767,13593,4916,15118,8
215,TRUE,West Chester,Pennsylvania,Chester,42,29,NA,NA,NA,159141,16696,15767,13593,4916,15118,8
717,TRUE,York,Pennsylvania,York,42,133,NA,NA,NA,202737,14993,20573,18032,5204,3852,15
317,TRUE,Carmel,Indiana,Hamilton,18,57,NA,NA,NA,28491,4396,3101,3221,856,342,11
317,TRUE,Fishers,Indiana,Hamilton,18,57,NA,NA,NA,28491,4396,3101,3221,856,342,11
317,TRUE,Noblesville,Indiana,Hamilton,18,57,NA,NA,NA,28491,4396,3101,3221,856,342,11
317,TRUE,Westfield,Indiana,Hamilton,18,57,NA,NA,NA,28491,4396,3101,3221,856,342,11
217,TRUE,Quincy,Illinois,Adams,17,1,NA,NA,NA,64690,10090,6041,8211,1442,1423,10
513,FALSE,Piqua,Ohio,Miami,39,109,NA,NA,NA,61309,8602,6900,6183,1658,1165,9
513,FALSE,Troy,Ohio,Miami,39,109,NA,NA,NA,61309,8602,6900,6183,1658,1165,9
304,TRUE,Wheeling,West Virginia,Ohio,54,69,NA,NA,NA,71672,10973,6590,7168,1430,2652,17
304,FALSE,Wheeling,West Virginia,Ohio,54,69,NA,NA,NA,71672,10973,6590,7168,1430,2652,17
201,FALSE,Willingboro,New Jersey,Burlington,34,5,NA,NA,NA,135910,10140,12901,10199,5616,11009,13
201,FALSE,Willingboro,New Jersey,Burlington,34,5,NA,NA,NA,135910,10140,12901,10199,5616,11009,13
201,FALSE,Lakewood,New Jersey,Ocean,34,29,NA,NA,NA,56622,6376,5623,6253,2696,1642,13
201,FALSE,Toms River,New Jersey,Ocean,34,29,NA,NA,NA,56622,6376,5623,6253,2696,1642,13
201,FALSE,Lakewood,New Jersey,Ocean,34,29,NA,NA,NA,56622,6376,5623,6253,2696,1642,13
201,FALSE,Toms River,New Jersey,Ocean,34,29,NA,NA,NA,56622,6376,5623,6253,2696,1642,13
614,FALSE,Zanesville,Ohio,Muskingum,39,119,NA,NA,NA,74535,10703,7859,7951,1814,2683,11
614,FALSE,Zanesville,Ohio,Muskingum,39,119,NA,NA,NA,74535,10703,7859,7951,1814,2683,11
916,FALSE,Chico,California,Butte,6,7,NA,NA,NA,64930,475,6629,6872,1780,1299,16
916,FALSE,Paradise,California,Butte,6,7,NA,NA,NA,64930,475,6629,6872,1780,1299,16
614,TRUE,Columbus,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Dublin,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Gahanna,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Grove City,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Hilliard,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Reynoldsburg,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Upper Arlington,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Westerville,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
614,TRUE,Canal Winchester,Ohio,Franklin,39,49,NA,NA,NA,503410,78242,52007,42369,18194,52355,11
215,TRUE,Philadelphia,Pennsylvania,Philadelphia,42,101,NA,NA,NA,2071605,251052,184125,171242,44606,379104,8
215,FALSE,Philadelphia,Pennsylvania,Philadelphia,42,101,NA,NA,NA,2071605,251052,184125,171242,44606,379104,8
614,FALSE,London,Ohio,Madison,39,97,NA,NA,NA,22300,2967,2436,2206,604,1249,11
215,FALSE,Drexel Hill,Pennsylvania,Delaware,42,45,NA,NA,NA,414234,58209,43896,28765,12434,29411,8
215,FALSE,Radnor,Pennsylvania,Delaware,42,45,NA,NA,NA,414234,58209,43896,28765,12434,29411,8
215,FALSE,Springfield,Pennsylvania,Delaware,42,45,NA,NA,NA,414234,58209,43896,28765,12434,29411,8
215,FALSE,Drexel Hill,Pennsylvania,Delaware,42,45,NA,NA,NA,414234,58209,43896,28765,12434,29411,8
215,FALSE,Radnor,Pennsylvania,Delaware,42,45,NA,NA,NA,414234,58209,43896,28765,12434,29411,8
215,FALSE,Springfield,Pennsylvania,Delaware,42,45,NA,NA,NA,414234,58209,43896,28765,12434,29411,8
217,TRUE,Decatur,Illinois,Macon,17,115,NA,NA,NA,98853,13560,10475,9119,2766,3559,10
513,FALSE,Springfield,Ohio,Clark,39,23,NA,NA,NA,111661,15684,12283,10179,2902,10049,9
513,TRUE,Springfield,Ohio,Clark,39,23,NA,NA,NA,111661,15684,12283,10179,2902,10049,9
317,FALSE,Richmond,Indiana,Wayne,18,177,NA,NA,NA,68566,10249,7141,6933,1700,3360,11
415,FALSE,Mendocino,California,Mendocino,6,45,NA,NA,NA,40854,2376,4303,3915,1038,1675,10
415,FALSE,Fort Bragg,California,Mendocino,6,45,NA,NA,NA,40854,2376,4303,3915,1038,1675,10
303,TRUE,Brighton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Commerce City,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Northglenn,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Thornton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Westminster,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Brighton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Commerce City,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Northglenn,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Thornton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Westminster,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
201,FALSE,Camden,New Jersey,Camden,34,7,NA,NA,NA,300743,33126,30345,23492,9180,22856,13
201,FALSE,Cherry Hill,New Jersey,Camden,34,7,NA,NA,NA,300743,33126,30345,23492,9180,22856,13
201,FALSE,Pennsauken,New Jersey,Camden,34,7,NA,NA,NA,300743,33126,30345,23492,9180,22856,13
217,TRUE,Springfield,Illinois,Sangamon,17,167,NA,NA,NA,131484,17878,12881,12978,3468,4470,10
816,FALSE,Hannibal,Missouri,Marion,29,127,NA,NA,NA,29765,5161,2878,3673,592,1637,15
614,FALSE,Lancaster,Ohio,Fairfield,39,45,NA,NA,NA,52130,6896,5494,5435,1428,417,11
614,FALSE,Lancaster,Ohio,Fairfield,39,45,NA,NA,NA,52130,6896,5494,5435,1428,417,11
317,TRUE,Indianapolis,Indiana,Marion,18,97,NA,NA,NA,551777,85719,58296,44840,18812,65110,11
317,TRUE,Lawrence,Indiana,Marion,18,97,NA,NA,NA,551777,85719,58296,44840,18812,65110,11
513,FALSE,Centerville,Ohio,Montgomery,39,113,NA,NA,NA,398441,67909,45588,29268,13670,37852,9
513,FALSE,Dayton,Ohio,Montgomery,39,113,NA,NA,NA,398441,67909,45588,29268,13670,37852,9
513,FALSE,Huber Heights,Ohio,Montgomery,39,113,NA,NA,NA,398441,67909,45588,29268,13670,37852,9
513,FALSE,Kettering,Ohio,Montgomery,39,113,NA,NA,NA,398441,67909,45588,29268,13670,37852,9
513,FALSE,Riverside,Ohio,Montgomery,39,113,NA,NA,NA,398441,67909,45588,29268,13670,37852,9
513,FALSE,Trotwood,Ohio,Montgomery,39,113,NA,NA,NA,398441,67909,45588,29268,13670,37852,9
513,FALSE,Englewood,Ohio,Montgomery,39,113,NA,NA,NA,398441,67909,45588,29268,13670,37852,9
303,TRUE,Arvada,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,TRUE,Columbine,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,TRUE,Ken Caryl,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,TRUE,Lakewood,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,TRUE,Wheat Ridge,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,FALSE,Arvada,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,FALSE,Columbine,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,FALSE,Ken Caryl,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,FALSE,Lakewood,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,FALSE,Wheat Ridge,Colorado,Jefferson,8,59,NA,NA,NA,55687,4819,6523,3530,3336,223,16
303,TRUE,Denver,Colorado,Denver,8,31,NA,NA,NA,415786,74619,42165,39173,11890,18295,16
303,FALSE,Denver,Colorado,Denver,8,31,NA,NA,NA,415786,74619,42165,39173,11890,18295,16
513,FALSE,Beavercreek,Ohio,Greene,39,57,NA,NA,NA,58892,4937,7582,4113,2128,5241,9
513,FALSE,Fairborn,Ohio,Greene,39,57,NA,NA,NA,58892,4937,7582,4113,2128,5241,9
513,FALSE,Xenia,Ohio,Greene,39,57,NA,NA,NA,58892,4937,7582,4113,2128,5241,9
215,FALSE,West Chester,Pennsylvania,Chester,42,29,NA,NA,NA,159141,16696,15767,13593,4916,15118,8
215,FALSE,West Chester,Pennsylvania,Chester,42,29,NA,NA,NA,159141,16696,15767,13593,4916,15118,8
215,TRUE,West Chester,Pennsylvania,Chester,42,29,NA,NA,NA,159141,16696,15767,13593,4916,15118,8
302,TRUE,Newark,Delaware,New Castle,10,3,NA,NA,NA,218879,30284,22651,16408,7650,25828,15
302,TRUE,Wilmington,Delaware,New Castle,10,3,NA,NA,NA,218879,30284,22651,16408,7650,25828,15
816,TRUE,Saint Joseph,Missouri,Buchanan,29,21,NA,NA,NA,96826,14959,8735,11756,2000,3195,15
303,TRUE,Brighton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Commerce City,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Northglenn,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Thornton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Westminster,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Brighton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Commerce City,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Northglenn,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Thornton,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,FALSE,Westminster,Colorado,Adams,8,1,NA,NA,NA,40234,1446,5602,1869,3706,1247,16
303,TRUE,Aurora,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Castlewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Englewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Littleton,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Southglenn,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Aurora,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Castlewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Englewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Littleton,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Southglenn,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
201,FALSE,Atlantic City,New Jersey,Atlantic,34,1,NA,NA,NA,132399,15110,11339,14399,3072,21581,13
301,FALSE,Cumberland,Maryland,Allegany,24,1,NA,NA,NA,89556,8608,9400,7161,1720,1254,14
301,TRUE,Cumberland,Maryland,Allegany,24,1,NA,NA,NA,89556,8608,9400,7161,1720,1254,14
301,FALSE,Hagerstown,Maryland,Washington,24,43,NA,NA,NA,78886,7343,8079,6908,1886,2209,14
301,TRUE,Hagerstown,Maryland,Washington,24,43,NA,NA,NA,78886,7343,8079,6908,1886,2209,14
304,TRUE,Morgantown,West Virginia,Monongalia,54,61,NA,NA,NA,60797,5311,6513,4215,1132,1459,17
304,FALSE,Morgantown,West Virginia,Monongalia,54,61,NA,NA,NA,60797,5311,6513,4215,1132,1459,17
301,FALSE,Bel Air North,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Bel Air South,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Edgewood,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Bel Air North,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Bel Air South,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Edgewood,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Bel Air North,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Bel Air South,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Edgewood,Maryland,Harford,24,25,NA,NA,NA,51782,3922,6425,3202,2112,5489,14
301,FALSE,Arbutus,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Baltimore,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Carney,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Catonsville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Dundalk,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Essex,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Lochearn,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Middle River,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Milford Mill,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Parkville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Perry Hall,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Pikesville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Randallstown,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Reisterstown,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Towson,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Arbutus,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Baltimore,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Carney,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Catonsville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Dundalk,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Essex,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Lochearn,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Middle River,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Milford Mill,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Parkville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Perry Hall,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Pikesville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Randallstown,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Reisterstown,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Towson,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Arbutus,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Baltimore,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Carney,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Catonsville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Dundalk,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Essex,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Lochearn,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Middle River,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Milford Mill,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Parkville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Perry Hall,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Pikesville,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Randallstown,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Reisterstown,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Towson,Maryland,Baltimore,24,5,NA,NA,NA,270273,25435,33048,15227,11912,18108,14
301,FALSE,Eldersburg,Maryland,Carroll,24,13,NA,NA,NA,44907,4291,4202,4776,1056,2066,14
301,FALSE,Eldersburg,Maryland,Carroll,24,13,NA,NA,NA,44907,4291,4202,4776,1056,2066,14
301,FALSE,Eldersburg,Maryland,Carroll,24,13,NA,NA,NA,44907,4291,4202,4776,1056,2066,14
301,FALSE,Frederick,Maryland,Frederick,24,21,NA,NA,NA,62287,5231,6465,5750,1700,4298,14
301,TRUE,Frederick,Maryland,Frederick,24,21,NA,NA,NA,62287,5231,6465,5750,1700,4298,14
303,TRUE,Aurora,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Castlewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Englewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Littleton,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Southglenn,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Aurora,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Castlewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Englewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Littleton,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Southglenn,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Aurora,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Castlewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Englewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Littleton,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,TRUE,Southglenn,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Aurora,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Castlewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Englewood,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Littleton,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
303,FALSE,Southglenn,Colorado,Arapahoe,8,5,NA,NA,NA,52125,5152,7562,3201,2962,417,16
