new_area_code,original_area_code,original,city,current_state,current_county,current_state_fip,current_county_fip,old_county_fips,state,county,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop,dial_pulls
920,414,FALSE,Sheboygan,Wisconsin,sheboygan,55,117,NA,NA,NA,80631,12896,8383,7570,1930,0,9
208,208,TRUE,Caldwell,Idaho,canyon,16,27,NA,NA,NA,53597,5234,6074,4510,1324,590,20
208,208,TRUE,Nampa,Idaho,canyon,16,27,NA,NA,NA,53597,5234,6074,4510,1324,590,20
605,605,TRUE,Sioux Falls,South Dakota,minnehaha,46,99,NA,NA,NA,70910,11808,8315,5538,2434,425,21
507,612,FALSE,Austin,Minnesota,mower,27,99,NA,NA,NA,42277,6215,5341,3173,1138,42,9
507,612,FALSE,Albert Lea,Minnesota,freeborn,27,47,NA,NA,NA,34517,4339,4119,2989,948,104,9
507,612,FALSE,Preston,Minnesota,fillmore,27,45,NA,NA,NA,24465,5002,2585,2934,522,0,9
507,612,FALSE,Blue Earth,Minnesota,faribault,27,43,NA,NA,NA,23879,4634,2738,2335,572,0,9
507,612,FALSE,Jackson,Minnesota,jackson,27,63,NA,NA,NA,16306,2291,1885,1376,312,0,9
989,517,FALSE,Midland,Michigan,midland,26,111,NA,NA,NA,35662,4777,5031,1973,1446,71,13
989,517,FALSE,Mount Pleasant,Michigan,isabella,26,73,NA,NA,NA,28964,2127,3468,2290,872,521,13
207,207,TRUE,Biddeford,Maine,york,23,31,NA,NA,NA,93541,11999,10015,9173,2156,187,19
208,208,TRUE,Boise,Idaho,ada,16,1,NA,NA,NA,70649,8602,8389,5770,2300,424,20
208,208,TRUE,Meridian,Idaho,ada,16,1,NA,NA,NA,70649,8602,8389,5770,2300,424,20
208,208,TRUE,Idaho Falls,Idaho,bonneville,16,19,NA,NA,NA,30210,2835,4331,1621,1506,332,20
315,315,TRUE,Rome,New York,oneida,36,65,NA,NA,NA,222855,27398,22238,22817,6414,2451,9
315,315,TRUE,Utica,New York,oneida,36,65,NA,NA,NA,222855,27398,22238,22817,6414,2451,9
603,603,TRUE,East Concord,New Hampshire,merrimack,33,13,NA,NA,NA,63022,8948,5944,8113,1380,126,19
458,503,FALSE,North Bend,Oregon,coos,41,11,NA,NA,NA,42265,1863,4863,3063,1314,169,18
541,503,FALSE,North Bend,Oregon,coos,41,11,NA,NA,NA,42265,1863,4863,3063,1314,169,18
603,603,TRUE,Dover,New Hampshire,strafford,33,17,NA,NA,NA,51567,6056,5111,4930,1492,52,19
603,603,TRUE,Rochester,New Hampshire,strafford,33,17,NA,NA,NA,51567,6056,5111,4930,1492,52,19
989,517,FALSE,Saginaw,Michigan,saginaw,26,145,NA,NA,NA,153515,20146,17983,11861,5226,9211,13
262,414,FALSE,West Bend,Wisconsin,washington,55,131,NA,NA,NA,33902,4211,3970,3117,1272,34,9
262,414,FALSE,Mequon,Wisconsin,ozaukee,55,89,NA,NA,NA,23361,2525,2782,1977,1014,0,9
307,307,TRUE,Casper,Wyoming,natrona,56,25,NA,NA,NA,31437,3798,3774,1814,1282,346,20
231,616,FALSE,Muskegon,Michigan,muskegon,26,121,NA,NA,NA,121545,14747,15124,8072,4138,7657,13
